Song Name,Artist Name,Mood,Song Link,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Funny Story,Cate,Happy,https://youtu.be/RImwFpMTOMU?si=L3QKKyjRd5TENccJ,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
Round & Round,Selena Gomez & The Scene,Happy,https://youtu.be/opHuQ6nSJKk?si=k7ALd8jX0iwGK2g4,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
Only You,Selena Gomez,Happy,https://youtu.be/T2urfFpDX1c?si=uM_HlJRlihSmm357,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
Walking Away,Chelsea Cutler,Happy,https://youtu.be/MkNmlIUfCgk?si=lPXedjRAZdT4Weuu,76,0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,244679
Gang Up,Young Thug,Happy,https://youtu.be/a6cQ1uQi9nw?si=PP-99tAjMECVY7t4,60,0.762,0.718,1,-5.039,1,0.12,0.105,1.93E-06,0.118,0.718,98.019,207781
Blinding Lights,The Weeknd,Happy,https://youtu.be/fHI8X4OXluQ?si=mY5Q73VD5ybqWzmR,79,0.708,0.843,7,-2.66,1,0.314,0.397,0,0.799,0.625,148.14,363521
NUMB,Chri$tian Gate$,Happy,https://youtu.be/H8k9WttlXIo?si=XA50HtXw8T38nM2V,75,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013
2055,Sleepy Hallow,Happy,https://youtu.be/JFvPjg3yijg?si=Hp7m_EiRogKpKQN2,72,0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,191293
Woman,Doja Cat,Happy,https://youtu.be/g7X9X6TlrUo?si=YmfxTzTrnBrkDCBs,86,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800
VolvÃ­,Aventura,Happy,https://youtu.be/vW62mcXaMiM?si=FCe1brN-AeL64kZF,92,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,191014
Todo De Ti,Rauw Alejandro,Happy,https://youtu.be/597KKUepNM4?si=qV236dXTY13N9IqK,79,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,172598
In Your Arms,ILLENIUM,Happy,https://youtu.be/d7jsd_rNADI?si=9_EzjBxYICeqkunk,53,0.626,0.819,1,-7.232,0,0.102,0.132,0,0.158,0.633,80.963,189173
Happier Than Ever,Billie Eilish,Happy,https://youtu.be/UVQREpxmN_U?si=GxuppnTX2NbWFtAx,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
Gnat,Eminem,Happy,https://youtu.be/stqBp63EZ10?si=0kO9b1BwIeG78OlV,96,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000
Mockingbird,Eminem,Happy,https://youtu.be/z3JAKqsTBYU?si=Q-BUZvhu_4lNRXGq,82,0.646,0.741,5,-4.973,0,0.034,0.0275,0,0.312,0.571,123.077,203000
One More Dance,R3HAB,Happy,https://youtu.be/y7TEwjIn3Ns?si=U7x7tBoyLpW_6m_y,55,0.651,0.939,11,-3.606,1,0.0774,0.00604,0,0.139,0.733,133.05,214453
Bummerland,AJR,Happy,https://youtu.be/vqqTfn5qyos?si=ALB_1xb_dmiXGdw8,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
One Call Away,Charlie Puth,Happy,https://youtu.be/I-JgQOHFTZU?si=nMsXftac6g7KjT0C,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Keep You Safe,SHRK,Happy,https://youtu.be/ZIyzMBgrJQ8?si=ciW65raNQXCDT-8J,68,0.695,0.743,6,-3.85,1,0.0329,0.0786,0,0.0587,0.634,123.007,201254
Alright,Wiz Khalifa,Happy,https://youtu.be/lpDFkGebYGo?si=EaKCyxQhO7JVz_YH,84,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973
What You Know Bout Love,Pop Smoke,Happy,https://youtu.be/7Mzxotj6Gvs?si=yWRZR_UTdCiMjfFT,81,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,202533
Challa,Romy,Happy,https://youtu.be/g62J-8nV5FI?si=pV9NqVA31K9N3P5V,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
Lose Yourself,Eminem,Happy,https://youtu.be/tR1ECf4sEpw?si=6gMYeiRW9Yx9WVqc,81,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,206880
River,Eminem,Happy,https://youtu.be/3BXDsVD6O10?si=JZgFOOy4xIrRYBAw,84,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973
The Ringer,Eminem,Happy,https://youtu.be/ACNgFW50EbU?si=gEpeQf8UUXbHPbMn,78,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91E-06,0.124,0.946,101.022,178374
Main Dhoondne Ko Zamaane Mein,Arijit Singh,Happy,https://youtu.be/blkMNxQYCos?si=RdiweIu_GaAHPBOe,77,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,219160
Lie,NF,Happy,https://youtu.be/B1dmRjyN0CQ?si=RsHS2-s9Ewu8wJbk,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360
Hall of Fame,The Script,Happy,https://youtu.be/3Kxf2dHlDpQ?si=ee0HwukZEvx_I1E2,77,0.781,0.853,1,-3.68,0,0.0715,0.0525,0,0.12,0.624,110.049,250189
I'm Not Mad,Halsey,Happy,https://youtu.be/OCkohjacFU0?si=6HToqloWSEHo4pSb,57,0.566,0.766,2,-5.036,1,0.0399,0.431,0,0.101,0.547,168.005,233467
Light of the Seven,Ramin Djawadi,Happy,https://youtu.be/QJHPlKPOc78?si=6dbpfTe8MCMnTCyL,60,0.762,0.718,1,-5.039,1,0.12,0.105,1.93E-06,0.118,0.718,98.019,207781
Stay A Little Longer,Anushka Shahaney,Happy,https://youtu.be/08WiUcJmnZc?si=ACpKSTuGEpKm0oRW,64,0.652,0.715,0,-5.919,1,0.0388,0.0291,0,0.156,0.617,97.981,191036
Sweater Weather,The Neighbourhood,Happy,https://youtu.be/08WiUcJmnZc?si=Kw63m2HI1NgqBMtC,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
See You Again,Wiz Khalifa,Happy,https://youtu.be/NDEWXnMRq3c?si=rKCCiVl5rpZPdPRD,0,0.684,0.803,2,-4.251,1,0.156,0.0606,0,0.546,0.8,107.028,205280
older,Nightly,Happy,https://youtu.be/-UFfM2VDMyg?si=WkBKcp-aJhSdMwMz,71,0.668,0.886,0,-3.474,1,0.117,0.0417,0,0.459,0.503,142.002,278640
Jesus Lord pt 2,Kanye West,Happy,https://youtu.be/HWzLbfkoztE?si=hIXo6ZwgwInkAIWS,72,0.563,0.902,1,-4.586,0,0.402,0.0545,0,0.0524,0.559,171.999,227907
Only Wanna Be With You,Post Malone,Happy,https://youtu.be/r0BxNz_YOVM?si=PBUD8iaLPusVHBjI,88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
Addict Of Magic,Picture This,Happy,https://youtu.be/3h7tmpXXfCA?si=ZioNuwf_W06Y1zOj,51,0.711,0.721,11,-7.243,1,0.161,0.0619,0,0.112,0.68,82.5,165859
Till I Collapse,Eminem,Happy,https://youtu.be/Pi3_Zs-oRUo?si=DYvoOmbJb8xvOHZj,86,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800
You should be sad,Halsey,Happy,https://youtu.be/1JiDzwbQgTI?si=u4GNtgfadtRmulgu,75,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013
Venom,Eminem,Happy,https://youtu.be/vXldhgvp8mc?si=RsBXW7KetJygvwQw,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
Not Afraid,Eminem,Happy,https://youtu.be/anUz77ElBK4?si=zDxpIoKBolI5N2PO,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
Hold It Against Me,Britney Spears,Happy,https://youtu.be/GJSm_QMO6zA?si=VcxMEWF2J97BUyBh,96,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000
Ghost Of You,5 Seconds of Summer,Happy,https://youtu.be/stdr6o0-HOM?si=BojacGU_lOp6p1_H,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
Tightrope,ZAYN,Happy,https://youtu.be/75EYy4cI4_U?si=ueDOzPQwMR99fvLl,82,0.73,0.703,0,-5.672,0,0.0369,0.109,0,0.0657,0.595,138.113,192120
willow,Taylor Swift,Happy,https://youtu.be/7EvwIw4gIyk?si=9SuFnKQT8KdnMX9D,80,0.827,0.731,4,-5.524,0,0.088,0.13,0,0.418,0.607,118.992,172833
could cry just thinkin about you,Troye Sivan,Happy,https://youtu.be/niHLG2SXmx8?si=IbR7j5Yu5MgXQwgp,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
Insane,AP Dhillon,Happy,https://youtu.be/cqP8I5aaud8?si=RJ0LdQ3uRDMfMJjR,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
Remember The Name,Ed Sheeran,Happy,https://youtu.be/ZX3B953Rc0I?si=Wi1CK9QUndsCyYFR,81,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,206880
rockstar,Post Malone,Happy,https://youtu.be/LLKbtcwS6Ys?si=YlRvks52e8gXZtyn,78,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491
Can't Trust A Soul,7ru7h,Happy,https://youtu.be/hLYmYZqtsxs?si=oxZtKubrC5KOexSH,72,0.835,0.869,10,-4.582,0,0.27,0.248,0,0.462,0.82,140.945,224656
Waka Waka,Shakira,Happy,https://youtu.be/czWcyZRAMtk?si=OoK46Nh1Cr0W1bhu,84,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290
Jocelyn Flores,XXXTENTACION,Happy,https://youtu.be/6djMM49k_Q4?si=BtVr08vs1yRuGqrt,62,0.72,0.724,6,-7.219,0,0.0463,0.0418,0,0.0597,0.747,89.984,213804
Saint-Tropez,Post Malone,Happy,https://youtu.be/MRyLC2M1K2w?si=xUM7LXGPkHd5RTMt,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
POPSTAR,DJ Khaled,Happy,https://youtu.be/-iNWEwLfkv8?si=17DN5HPtfB9iN18r,48,0.338,0.777,2,-8.936,0,0.0946,0.0324,0.00374,0.193,0.514,77.567,191338
Whats Poppin,Jack Harlow,Happy,https://youtu.be/EzrM9RJnAhA?si=mb9ZXf2D5u45j-cE,50,0.718,0.83,4,-5.488,0,0.0505,0.404,2.50E-05,0.124,0.771,105.012,220382
Thrusting,Internet Money,Happy,https://youtu.be/vQ8HKCjogIA?si=E0QyBvt5cjYzkVX6,53,0.626,0.79,3,-6.502,1,0.0397,0.0196,8.86E-05,0.106,0.539,127.039,297643
Baby,Quality Control,Happy,https://youtu.be/R9qQgBWo5Fg?si=LLdHHCwuaYDS-eVg,52,0.731,0.909,4,-3.106,0,0.235,0.146,0,0.0408,0.663,133.01,199398
Plain Jane,A$AP Ferg,Happy,https://youtu.be/M5dozfe8ppU?si=mifFOAd4aOxpe1De,62,0.468,0.737,8,-7.274,1,0.0765,0.726,0.00272,0.0655,0.572,79.448,365707
Jiyein Kyun,Pritam,Happy,https://youtu.be/csXZ4pL65P4?si=ZCFAMtRqzD8pY3wd,69,0.893,0.757,10,-2.843,1,0.0738,0.112,0.0634,0.107,0.681,95.018,165000
Jeena Jeena,Atif Aslam,Happy,https://youtu.be/zFdi834FiZ4?si=XVBn-AJbwZqtAJAI,48,0.338,0.777,2,-8.936,0,0.0946,0.0324,0.00374,0.193,0.514,77.567,191338
Short Change Hero,The Heavy,Happy,https://youtu.be/lkvScx3Po8I?si=TULmphhiK41AF1gQ,72,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48E-05,0.074,0.56,128.003,218293
Let Me Down Slowly,Alec Benjamin,Happy,https://youtu.be/jLNrvmXboj8?si=lOazKlMc2tT6Wc1i,48,0.338,0.777,2,-8.936,0,0.0946,0.0324,0.00374,0.193,0.514,77.567,191338
Where's My Love,SYML,Happy,https://youtu.be/fpyNyyuTRBg?si=qINjIZhEazAeRv2k,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
Don't Give Up On Me,Andy Grammer,Happy,https://youtu.be/IpzKmBCBIQE?si=sd-nuii4J5zH69Yq,78,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491
Ophelia,The Lumineers,Happy,https://youtu.be/pCDPpHLOw6A?si=ZqWPgOdofUMsqdyA,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
And You Evade Him,Joshua Burnside,Happy,https://youtu.be/qlsgL9K8ItM?si=2Xz0BxEMqnlq1oD7,93,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,143901
Dusty Blue,Charles Bradley,Happy,https://youtu.be/rRkGsh9f-pY?si=wc7utYVPOafemWtX,95,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853
A Gentle Awakening,JD McPherson,Happy,https://youtu.be/U_GEch9cyJg?si=naEnmMPJQZftKuI0,55,0.707,0.725,1,-5.981,0,0.196,0.599,0,0.0525,0.761,86.032,176466
The Gentle Rain,Astrud Gilberto,Happy,https://youtu.be/Hnt0i3aItKE?si=Ubaqf8JFWUwpXXhj,62,0.596,0.823,1,-4.586,1,0.134,0.0115,0,0.0658,0.619,174.056,257053
I Found,Amber Run,Happy,https://youtu.be/CTspcr3Iaws?si=82eI63bJpZJq9jU4,86,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,199440
Touch It,KiDi,Happy,https://youtu.be/Tuak4gRMNL4?si=D5t2HT84HrLv08um,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
Illuminate,The Kite String Tangle,Happy,https://youtu.be/pMlynpb1XlM?si=tNjNdBA8yx0w1XWm,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
BE OK,Samoht,Happy,https://youtu.be/1p6at3aJn44?si=9Zv8-WBrpNDAgl1G,79,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,172598
Shayad,Pritam,Introspective,https://youtu.be/OnAyBZQc1vk?si=iUuC3KMshxtOvwde,72,0.483,0.468,8,-7.642,1,0.0341,0.785,0,0.152,0.319,135.864,247941
You,benny blanco,Introspective,https://youtu.be/yJPicr0JwSY?si=MNg_15cBCnPMAdUO,73,0.668,0.563,11,-6.433,1,0.0522,0.0493,0,0.119,0.305,103.116,169632
Swang,Rae Sremmurd,Introspective,https://youtu.be/c6m_C8masBo?si=wbTtTr_4q8r8duJx,0,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82E-06,0.1,0.166,139.991,208120
People Help the People,Birdy,Introspective,https://youtu.be/0YO7rPAVaOM?si=8peC27NksRaECK1l,67,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46E-05,0.092,0.153,73.254,256236
Kokoronashi,majiko,Introspective,https://youtu.be/-te_tki-1so?si=vayPip5po6TOGESA,66,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583
River Flows In You,Yiruma,Introspective,https://youtu.be/7maJOI3QMu0?si=qoDIxKuEHo1DVzT7,87,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886
Close To Me,Ellie Goulding,Introspective,https://youtu.be/YESpUqrKwS8?si=t93cFpelrhmtyerG,49,0.598,0.43,11,-11.236,1,0.0544,0.186,0,0.0924,0.0843,91.923,98508
I Know It's You,Guards,Introspective,https://youtu.be/5Z2lp7LJ4-k?si=82aF6MdoDwuTY7W7,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Alag Aasmaan,Anuv Jain,Introspective,https://youtu.be/BmwiS-THm34?si=EL2XcRL8BsG9r9at,77,0.735,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016,219187
Everybody Wants You,Johnny Orlando,Introspective,https://youtu.be/10t5Of0nRvw?si=9MPhHV9ioiYNsMMA,86,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107
What A Time,Julia Michaels,Introspective,https://youtu.be/DS5ghEncSDY?si=cx6jEArdq2EmpXlK,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Mera Mann Kehne Laga,Falak Shabir,Introspective,https://youtu.be/NbC49ICjK9Y?si=KtXjxjupDG0uKNV1,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Last Train Home,John Mayer,Introspective,https://youtu.be/TE4S9viOTUM?si=Qvi4OrxBnTwP3ze4,86,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627
Do You Mean,The Chainsmokers,Introspective,https://youtu.be/p_vSh1DUsD4?si=sI7f51ndN76iAjFI,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
The Lake,Carlos Rafael Rivera,Introspective,https://youtu.be/06i_ke6uB2w?si=DBqB7SYciXliIjWi,41,0.609,0.523,1,-12.649,1,0.0796,0.00959,0.000155,0.15,0.342,127.977,181875
Too Late,Cash Cash,Introspective,https://youtu.be/jVepRkwnkss?si=qT97_Btt2H0q7fgg,68,0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,242956
Summer Thing,Dragonette,Introspective,https://youtu.be/85u8J718ZUY?si=xZET5LeGhcpPQpW4,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360
Solar Power,Lorde,Introspective,https://youtu.be/wvsP_lzh2-8?si=G0jwvQ2XQRnRSjpR,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Kho Gaye Hum Kahan,Jasleen Royal,Introspective,https://youtu.be/ymhHUEPEKwQ?si=QwyweujbgL5d-_Xy,85,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,173307
Training With Benny,Carlos Rafael Rivera,Introspective,https://youtu.be/Ni0tovKn7EY?si=j2jKk6LN41TqlMli,41,0.609,0.523,1,-12.649,1,0.0796,0.00959,0.000155,0.15,0.342,127.977,181875
Moscow Invitational 1968,Carlos Rafael Rivera,Introspective,https://youtu.be/rXC3M2zkgE8?si=WgqMDOxL0Fm1UFUX,71,0.528,0.453,4,-9.398,1,0.0396,0.355,1.06E-06,0.104,0.281,119.761,196678
Sixteen,Ellie Goulding,Introspective,https://youtu.be/X8biMKq3-ko?si=bimMTYNqFf-_QuUU,83,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607
Dusk Till Dawn,ZAYN,Introspective,https://youtu.be/p-eS-_olx9M?si=__aUrSor_MqPLmMf,45,0.343,0.508,2,-9.742,1,0.0341,0.191,0.000377,0.278,0.304,78.126,286720
Khudi,The Local Train,Introspective,https://youtu.be/9LjKAt6SkdQ?si=mt1ovTziwggzh3bS,82,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
Mizaaj,The Local Train,Introspective,https://youtu.be/QZw-rgaQVfI?si=5FetCX2ZSNMBrS66,75,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405
Mere Yaar,The Local Train,Introspective,https://youtu.be/VowJFIBjJz0?si=NVk-kgjtjvYBchNe,72,0.701,0.554,1,-5.909,1,0.187,0.217,1.45E-06,0.419,0.0634,97.129,235187
Lonely Together,Avicii,Introspective,https://youtu.be/ruDrVMBCLaw?si=BVZZ0d0iVtzEVoSt,87,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886
The Scholar's Mate,Carlos Rafael Rivera,Introspective,https://youtu.be/efQbDEe7gd8?si=3PUsey1Zk5ekzz0C,81,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97,247160
I Don't Do Drugs,Doja Cat,Introspective,https://youtu.be/J244qbPZaG0?si=Vm2UAitBXxl-jPbO,73,0.365,0.443,7,-10.11,1,0.0235,0.0472,1.44E-06,0.344,0.149,93.953,271533
18,Jeremy Zucker,Introspective,https://youtu.be/9jokwNTl060?si=kVQYhZFecJk82c3A,77,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87E-05,0.14,0.204,94.845,274707
dancing in the kitchen,LANY,Introspective,https://youtu.be/MrFCYwLfubE?si=mpZ3U86FLeNuYpEb,32,0.405,0.551,7,-16.123,0,0.0473,0.819,0.957,0.0786,0.0381,161.965,190755
Break Me Down,Autograf,Introspective,https://youtu.be/cGWneREByRM?si=xOxlaBwFxmUPHpPB,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Glad You Came,The Wanted,Introspective,https://youtu.be/I5GjALNHzPQ?si=jNnvx-doF5OdrjP1,88,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266
Fractures,ILLENIUM,Introspective,https://youtu.be/ZCu2gwLj9ok?si=VCPylnT2czPKBap4,52,0.667,0.316,7,-8.952,1,0.0318,0.814,0,0.113,0.361,95.85,315476
Let You Down,NF,Introspective,https://youtu.be/fbHbTBP_u7U?si=gHAMCF9UtzKDGLg6,31,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,309458
Kiss and Make Up,Dua Lipa,Introspective,https://youtu.be/AX3Bsiq-13k?si=dXi7KtPaBr-Mf987,31,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,309458
Talk To Me,MÃ¶we,Introspective,https://youtu.be/DxdUHvUqMwI?si=GMlD0KBPX6zVZY_x,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Morning,Zara Larsson,Introspective,https://youtu.be/dls0t2HLH7w?si=Eih4bYRlPqCi9V3l,86,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107
Everyone Changes,Kodaline,Introspective,https://youtu.be/9_pqFw4xPfM?si=DjxR4NyAgmlKPlzD,73,0.365,0.443,7,-10.11,1,0.0235,0.0472,1.44E-06,0.344,0.149,93.953,271533
Bad boy,Marwa Loud,Introspective,https://youtu.be/9tDzvJMXDRw?si=LyqgTB3_OzYQ3Imw,82,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
YUSO,Kid Ink,Introspective,https://youtu.be/38zoXFBArdY?si=Wr4VA9eidTKSyS5j,86,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733
Fire On Fire,Sam Smith,Introspective,https://youtu.be/ZW97JCoIzBk?si=OXW-BEgSLzfMymBd,73,0.365,0.443,7,-10.11,1,0.0235,0.0472,1.44E-06,0.344,0.149,93.953,271533
Neighbor,Juicy J,Introspective,https://youtu.be/9mLIVaHp4A4?si=vGwTNsVDhJj75_P4,83,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,285634
Talk,Why Don't We,Introspective,https://youtu.be/n0wfyAS1Tso?si=a3KhOtf8hyWThlhp,79,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,195707
They Long to be Close to You,The Cranberries,Introspective,https://youtu.be/USlzUOWwKdY?si=wNVkGxUC_5w8nVyq,80,0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023,250173
Play Hard,David Guetta,Introspective,https://youtu.be/cOlmylwEDdk?si=m-m0CPfxXyice9Db,72,0.635,0.554,2,-3.975,0,0.0343,0.134,0,0.116,0.315,156.822,196147
Shallow,Lady Gaga,Introspective,https://youtu.be/SlWBJ7MTV8M?si=BvMbeiktjdhugBut,0,0.879,0.574,10,-5.602,0,0.391,0.519,8.76E-06,0.144,0.346,144.911,243463
Big Plans,Why Don't We,Introspective,https://youtu.be/EWguUJtesrs?si=H-D9lJGkkW4RUhh6,49,0.598,0.43,11,-11.236,1,0.0544,0.186,0,0.0924,0.0843,91.923,98508
7 rings,Ariana Grande,Introspective,https://youtu.be/2s54MiIwVVE?si=Vywb6SYR-20WNKQV,65,0.269,0.58,0,-5.958,1,0.0352,0.474,0,0.116,0.281,155.625,283520
im all alone,lael,Introspective,https://youtu.be/VvkY3xQKo7Q?si=quf2ILjh9-v7Q6Sg,84,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624
It Ain't Me,Kygo,Introspective,https://youtu.be/j6sSQq7a_Po?si=m3q-kj0fUVappyTH,45,0.343,0.508,2,-9.742,1,0.0341,0.191,0.000377,0.278,0.304,78.126,286720
Heathens,Twenty One Pilots,Introspective,https://youtu.be/zq2pagG8_ok?si=euaZgcCQ0LOBWbRq,68,0.783,0.537,9,-2.921,1,0.0795,0.278,0,0.229,0.393,113.988,222866
Just Dance,EQRIC,Introspective,https://youtu.be/J3kXe5wm8FM?si=iYddg4Smr5cg-_vM,57,0.528,0.367,2,-9.227,1,0.055,0.878,0.000146,0.0795,0.293,128.715,190427
Cold Skin,Seven Lions,Introspective,https://youtu.be/0y-xhQXmEAk?si=a2GRZ4-8wJBcm-oD,60,0.687,0.463,1,-6.635,1,0.0368,0.039,0,0.131,0.289,91.031,198187
I Get You,Kasbo,Introspective,https://youtu.be/fOBsNTI10FE?si=BbZDORcgxk28nbIy,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Line Of Sight,ODESZA,Introspective,https://youtu.be/8ayH60ET4U0?si=gmeUY6ej7uIwTAQa,85,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600
Just A Mess,Tones And I,Introspective,https://youtu.be/Xfh6CM2bY54?si=J506jcHebnaGmXp8,83,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,285634
closure,Taylor Swift,Introspective,https://youtu.be/AIFnKqIeEdY?si=Uc-6YmqD2UzCkNFV,84,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624
The Rains Of Castomere,The National,Introspective,https://youtu.be/9vDL7AgLdYQ?si=JAVUq6j340tkMAQg,88,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266
All I Want,Secondcity,Introspective,https://youtu.be/4Tywo3348PQ?si=migoOb_njX3S6Mvf,64,0.639,0.404,4,-7.68,0,0.037,0.0166,0,0.343,0.045,138.054,177440
I miss you,Gracie Abrams,Introspective,https://youtu.be/sLKa7i103HE?si=5b1SZ3JL2i5ojVNh,85,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600
